排名（风险过滤后）,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,000802,北京文化,R 文化传播,8.5,287,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；换手率5.4-10.7%；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）,2026-07-27,3.94,3.7340000000000004,3.6595,true,3.99,-1.253132832080207,false,54.31812886511996,18.854304705725564,15.418230280120568,25.726453556935553,2026-07-08,13,2026-07-22,3,true,1.6370868173106286,270632800,9.77,27.700388945752305,5.913978494623651,8.870967741935473,7.66498155485722,33.33333333333333,false,false,false,true,false,66.66666666666666,false,5.5,腾讯前复权日K回退（成交额、换手率已提供）
2,002724,海洋王,C 制造业,7.5,1205,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；放量（量比1.8-3.8）；涨幅-2.7-10.1%",日成交额≥1亿元（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,5.16,4.916,4.897,true,5.28,-2.2727272727272747,false,55.8116653964376,9.16811927932495,7.077360919831854,13.349635998311143,2026-07-01,18,2026-07-23,2,true,2.1316301687324235,66917100,2.31,28.968441558441558,5.954825462012314,8.00821355236139,5.370635082703694,23.07692307692306,false,false,false,false,false,76.92307692307693,true,7.22,腾讯前复权日K回退（成交额、换手率已提供）
3,002388,新亚制程,C 制造业,7.5,898,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,4.8,4.14,4.49,true,5.67,-15.343915343915345,false,54.137529052993514,21.52704627293633,13.41708639143348,37.74696603594204,,,2026-07-23,2,true,1.5533084710332332,309866500,13.28,23.333320783132528,10.091743119266038,10.779816513761462,6.90423162583518,0,false,false,false,false,true,100,true,6.99,腾讯前复权日K回退（成交额、换手率已提供）
4,002246,北化股份,C 制造业,7.5,765,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,20.11,18.898000000000003,18.391,true,19.74,1.8743667679837945,true,60.36864395563577,19.196571629899644,13.462883698724193,30.663947492250546,2026-07-13,10,2026-07-22,3,true,1.435482058449631,480952400,4.47,107.59561521252796,3.7132542547704928,6.859205776173294,9.34696318851613,2.255639097744443,false,false,false,false,false,97.74436090225555,true,27.15,腾讯前复权日K回退（成交额、换手率已提供）
5,002358,森源电气,C 制造业,7.5,869,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,5.61,5.33,5.311,true,5.77,-2.7729636048526736,false,53.80649948120738,13.378428626113703,8.884943247802381,22.365399382736346,2026-07-15,8,2026-07-23,2,true,1.3096930505230722,260633200,5.06,51.50853754940712,2.9357798165137616,4.403669724770646,5.6298248917341445,4.166666666666574,false,false,false,false,true,95.83333333333343,true,8.01,腾讯前复权日K回退（成交额、换手率已提供）
6,001208,华菱线缆,C 制造业,7.5,419,站上5日线；站上20日线；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；换手率5.4-10.7%；涨幅-2.7-10.1%,"RSI区间[49.1, 62.6]（-1分）；放量（量比1.8-3.8）（-1分）",2026-07-27,13.99,13.185999999999998,13.8495,true,16.07,-12.943372744243934,false,48.721202754293145,15.339275323493728,11.16040221831504,23.697021533851103,2026-07-24,1,2026-07-23,2,true,1.3056752813463128,425689800.00000006,9.79,43.482104187946895,3.937592867756301,6.686478454680538,1.014477056933459,1.111111111111087,false,false,false,false,true,98.88888888888891,true,20.78,腾讯前复权日K回退（成交额、换手率已提供）
7,000777,中核科技,C 制造业,7.5,267,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,17.16,16.646,17.0915,true,19.44,-11.7283950617284,false,50.01936560467722,12.234158727990982,10.301156812385388,16.10016255920217,2026-07-24,1,2026-07-24,1,true,1.2032721027937072,210703500,3.27,64.43532110091743,3.187011425135311,6.79494888755261,0.4007840154462758,9.73451327433624,false,false,false,false,false,90.26548672566376,true,21.75,腾讯前复权日K回退（成交额、换手率已提供）
8,002030,达安基因,C 制造业,7.5,559,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,5.37,5.242,5.1755,true,5.47,-1.828153564899445,false,51.85850328974643,15.77496274585936,14.498415472972264,18.328057291633552,2026-07-03,16,2026-07-22,3,true,1.0360044164306437,122343500,1.63,75.05736196319019,3.2692307692307576,3.8461538461538494,3.7580910056999253,20,false,false,false,false,false,80,true,7.79,腾讯前复权日K回退（成交额、换手率已提供）
9,002445,中南文化,C 制造业,7.5,951,"站上5日线；站上20日线；RSI区间[49.1, 62.6]；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；涨幅-2.7-10.1%",放量（量比1.8-3.8）（-1分）；换手率5.4-10.7%（-1分）,2026-07-27,2.91,2.8020000000000005,2.7805,true,2.97,-2.0202020202020217,false,51.22805116675552,12.005041778656272,8.744471936140767,18.526181463687283,2026-07-14,9,2026-07-22,3,true,0.8950955929020423,147386900,2.18,67.60866972477064,4.3010752688172005,5.734767025089611,4.657435713001265,0,false,false,false,false,false,100,true,4.27,腾讯前复权日K回退（成交额、换手率已提供）
10,001376,百通能源,D 水电煤气,7.5,511,站上5日线；站上20日线；MACD多头；KDJ金叉距今1-3个交易日且状态良好；日成交额≥1亿元；换手率5.4-10.7%；涨幅-2.7-10.1%,"RSI区间[49.1, 62.6]（-1分）；放量（量比1.8-3.8）（-1分）",2026-07-27,10.14,9.975999999999999,10.035,true,10.97,-7.56608933454877,false,44.89382906877414,5.751764088361338,4.3770854472657605,8.501121370552495,2026-07-03,16,2026-07-22,3,true,0.858559978136196,120466900,5.64,21.359379432624113,3.7871033776867957,5.6294779938587585,1.0463378176382703,1.818181818181777,false,false,false,false,false,98.18181818181823,true,16.1,腾讯前复权日K回退（成交额、换手率已提供）
