序号,股票代码,股票名称,失败原因
430,001220,世盟股份,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 115 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 115 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 115 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 115 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 115 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 115 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 114 根有效日线，少于 150 根。；第 2 次：仅返回 114 根有效日线，少于 150 根。；第 3 次：仅返回 114 根有效日线，少于 150 根。
444,001237,惠康科技,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 47 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 47 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 47 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 47 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 47 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 47 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 47 根有效日线，少于 150 根。；第 2 次：仅返回 47 根有效日线，少于 150 根。；第 3 次：仅返回 47 根有效日线，少于 150 根。
447,001248,华润新能源,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 19 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 19 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 19 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 19 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 19 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 19 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 19 根有效日线，少于 150 根。；第 2 次：仅返回 19 根有效日线，少于 150 根。；第 3 次：仅返回 19 根有效日线，少于 150 根。
450,001257,盛龙股份,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 81 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 81 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 81 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 81 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 81 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 81 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 80 根有效日线，少于 150 根。；第 2 次：仅返回 80 根有效日线，少于 150 根。；第 3 次：仅返回 80 根有效日线，少于 150 根。
479,001312,福恩股份,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 67 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 67 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 67 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 67 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 67 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 67 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 66 根有效日线，少于 150 根。；第 2 次：仅返回 66 根有效日线，少于 150 根。；第 3 次：仅返回 66 根有效日线，少于 150 根。
489,001325,元创股份,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 146 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 146 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 146 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 146 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 146 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 146 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 146 根有效日线，少于 150 根。；第 2 次：仅返回 146 根有效日线，少于 150 根。；第 3 次：仅返回 146 根有效日线，少于 150 根。
505,001365,天海电子,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 51 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 51 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 51 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 51 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 51 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 51 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 51 根有效日线，少于 150 根。；第 2 次：仅返回 51 根有效日线，少于 150 根。；第 3 次：仅返回 51 根有效日线，少于 150 根。
509,001369,双欣材料,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 137 根有效日线，少于 150 根。；第 2 次：仅返回 137 根有效日线，少于 150 根。；第 3 次：仅返回 137 根有效日线，少于 150 根。
522,001393,维通利,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 52 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 52 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 52 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 52 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 52 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 52 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 52 根有效日线，少于 150 根。；第 2 次：仅返回 52 根有效日线，少于 150 根。；第 3 次：仅返回 52 根有效日线，少于 150 根。
524,001396,誉帆科技,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 138 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 137 根有效日线，少于 150 根。；第 2 次：仅返回 137 根有效日线，少于 150 根。；第 3 次：仅返回 137 根有效日线，少于 150 根。
525,001399,惠科股份,缓存记录失败：东方财富失败：东方财富服务暂时不可用，已跳过本次请求。；腾讯回退失败：腾讯增强日 K 失败：第 1 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 23 根有效日线，少于 150 根。；第 1 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 23 根有效日线，少于 150 根。；第 2 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 23 根有效日线，少于 150 根。；第 2 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 23 根有效日线，少于 150 根。；第 3 次 https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get：仅返回 23 根有效日线，少于 150 根。；第 3 次 https://web.ifzq.gtimg.cn/appstock/app/newfqkline/get：仅返回 23 根有效日线，少于 150 根。；旧版日 K 失败：第 1 次：仅返回 23 根有效日线，少于 150 根。；第 2 次：仅返回 23 根有效日线，少于 150 根。；第 3 次：仅返回 23 根有效日线，少于 150 根。
565,002036,联创电子,缓存因子的数据日期不是当日。
1295,002828,贝肯能源,缓存因子的数据日期不是当日。
