评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,003007,直真科技,I 信息技术,9.5,1459,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%",无,2026-08-04,37.65,34.326,34.776500000000006,True,40.65,-7.380073800738007,False,56.029215582684145,18.697078969073406,13.947227486466842,28.196781934286538,2026-07-31,2.0,2026-07-31,2.0,True,2.0632574921551883,160140800.0,5.92,27.05081081081081,6.446140797285849,7.039864291772695,8.262763647865635,13.654618473895708,False,False,False,False,False,86.34538152610429,True,56.97,腾讯前复权日K回退（成交额、换手率已提供）
2,000887,中鼎股份,C 制造业,8.5,334,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-04,18.33,17.338,17.7695,True,20.79,-11.832611832611837,False,52.85030606129735,20.564165321146202,15.335238056583307,31.022019850271988,2026-08-03,1.0,2026-07-31,2.0,True,1.8978782721255958,780720700.0000001,3.34,233.74871257485034,6.015037593984962,7.518796992481208,3.1542812121894115,3.0769230769232827,True,False,False,True,False,96.9230769230767,True,22.75,腾讯前复权日K回退（成交额、换手率已提供）
3,002681,奋达科技,C 制造业,8.5,1168,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%",涨幅3.2-10.1%（-1分）,2026-08-04,4.72,4.4879999999999995,4.539499999999999,True,5.26,-10.266159695817493,False,53.629941519337905,27.90958967993681,20.829570075053038,42.069628889704354,2026-08-03,1.0,2026-07-31,2.0,True,1.826219216574213,424250199.99999994,5.74,73.91118466898953,-0.8403361344537785,4.621848739495793,3.976208833571987,4.545454545454454,False,False,False,True,True,40.90909090909089,False,5.96,腾讯前复权日K回退（成交额、换手率已提供）
4,002456,欧菲光,C 制造业,8.5,960,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-04,7.73,7.276000000000001,7.708,True,9.99,-22.62262262262262,False,48.01819417430032,20.06794201688933,13.96501302018948,32.27380001028902,2026-08-03,1.0,2026-07-29,4.0,True,1.8197605924678053,1111562700.0,4.41,252.05503401360542,5.1700680272108945,6.938775510204079,0.28541774779450235,19.60784313725484,False,False,False,True,False,80.39215686274515,True,10.22,腾讯前复权日K回退（成交额、换手率已提供）
5,002031,巨轮智能,C 制造业,8.5,560,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7%",涨幅3.2-10.1%（-1分）,2026-08-04,5.25,4.966,4.949,True,6.18,-15.048543689320384,False,52.021756402763124,14.897610262068445,10.94282682768272,22.807177130839893,2026-07-29,4.0,2026-07-27,6.0,True,1.440564244393427,593054300.0,5.98,99.17295986622072,0.7677543186180413,4.030710172744721,6.0820367751060855,14.285714285714407,False,False,False,False,False,85.7142857142856,True,8.8,腾讯前复权日K回退（成交额、换手率已提供）
6,002361,神剑股份,C 制造业,7.5,871,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-04,11.1,9.684000000000001,10.108,True,12.88,-13.819875776397522,False,50.06355879816539,12.226314142315827,9.175451371706377,18.328039683534726,2026-07-28,5.0,2026-08-03,1.0,True,3.9976690941617656,2492414100.0,28.65,86.99525654450262,10.009910802775025,9.415262636273532,9.814008705975455,0.0,False,False,False,False,True,100.0,True,22.64,腾讯前复权日K回退（成交额、换手率已提供）
7,002103,广博股份,C 制造业,7.5,628,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7%；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；放量（量比1.4-2.7）（-1分）",2026-08-04,6.86,6.5680000000000005,6.179,True,6.66,3.003003003003006,True,67.67601197161555,31.32326850979095,24.522367635442304,44.92507025848824,,,2026-07-28,5.0,True,2.988811391379521,180431500.0,6.81,26.49508076358297,3.3132530120482118,7.530120481927711,11.021200841560123,41.99999999999999,False,False,False,True,False,58.00000000000001,False,8.34,腾讯前复权日K回退（成交额、换手率已提供）
8,000710,贝瑞基因,M 科研服务,7.5,227,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；换手率5.2-7%（-1分）",2026-08-04,9.24,8.437999999999999,7.958500000000001,True,8.77,5.359179019384272,True,67.84312777230262,27.76905086235061,20.771156121641386,41.76484034376906,,,2026-07-28,5.0,True,2.6325683352609626,297998000.0,10.03,29.710667996011967,10.000000000000009,9.404761904761916,16.102280580511394,0.0,True,False,False,True,True,100.0,True,12.09,腾讯前复权日K回退（成交额、换手率已提供）
9,001223,欧克科技,C 制造业,7.5,433,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；换手率5.2-7%（-1分）",2026-08-04,39.46,33.980000000000004,32.6045,True,40.25,-1.962732919254656,False,58.68792173910233,31.901020464837377,22.707889820270463,50.28728175397121,2026-07-29,4.0,2026-07-27,6.0,True,2.3700856011036975,224310400.0,8.41,26.671866825208088,9.095935858446214,12.496544097318207,21.026238709380603,7.30088495575218,False,False,False,False,True,92.69911504424782,True,54.99,腾讯前复权日K回退（成交额、换手率已提供）
10,002695,煌上煌,C 制造业,7.5,1181,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元",换手率5.2-7%（-1分）；涨幅3.2-10.1%（-1分）,2026-08-04,10.34,9.87,9.565000000000001,True,10.81,-4.347826086956527,False,55.39371961822969,40.77462892393613,31.903210596961774,58.51746557788484,2026-07-30,3.0,2026-07-27,6.0,True,2.3393091246555007,388663200.0,7.17,54.206861924686194,-3.4547152194211117,6.816059757236214,8.102456874019847,8.21917808219162,False,False,False,False,True,17.808219178082087,False,13.3,腾讯前复权日K回退（成交额、换手率已提供）
