序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1,000001,平安银行,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,11.27,11.442,11.072999999999999,False,True,True,False,11.66,-3.3447684391080665,False,58.34910784841591,0.21463795324173418,0.19852201555867285,0.03223187536612265,True,False,False,False,,,83.62364137976427,88.07387967756428,74.72316478416425,False,False,,,False,1046343.0,1719235.6,0.6086094308424046,False,1171011800.0,0.54,2168.54037037037,0.1777777777777656,1.4222222222222236,1.779102320960905,6.2499999999998614,93.75000000000013,True,11.66,False,False,False,False,False,False
2,000002,万 科Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,3.26,3.3,3.1875,False,True,True,False,3.4,-4.117647058823533,False,54.21902538687565,0.039954857044965486,0.022034620875733817,0.03584047233846334,True,False,False,False,,,30.271775955074222,28.441189598971718,33.932948667279234,False,False,2026-07-27,8.0,True,1312120.0,1493446.4,0.8785852642585633,False,425181500.0,1.35,314.94925925925924,-0.6097560975609762,2.743902439024386,2.274509803921562,22.22222222222228,66.66666666666634,False,4.1,False,False,False,False,False,False
3,000006,深振业Ａ,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,6.83,6.692,6.414499999999999,True,True,True,True,7.39,-7.577807848443838,False,51.948741193543825,-0.16596413076600935,-0.30943400658457315,0.2869397516371276,True,False,False,False,2026-07-27,8.0,19.66014662778355,17.101442979397195,24.777553924556265,False,False,,,False,204918.0,193573.2,1.0586072865458647,False,138271800.0,1.52,90.96828947368421,0.589101620029453,3.38733431516936,6.47751188713073,8.695652173912876,91.30434782608712,True,11.25,False,False,False,False,False,False
4,000007,全新好,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,9.82,9.408,9.489500000000001,True,True,False,True,11.42,-14.01050788091068,False,46.17219679661446,-0.6071089013851569,-0.7776333080231199,0.34104881327592595,True,False,False,False,2026-07-31,4.0,13.652772791053565,11.513607793934327,17.93110278529204,False,False,2026-07-31,4.0,True,83283.0,89580.2,0.9297032156659619,False,80146100.0,2.4,33.39420833333333,2.827225130890043,4.502617801047117,3.4827967753833065,2.3255813953487894,97.67441860465121,True,14.75,False,False,False,False,False,False
5,000008,神州高铁,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,2.44,2.4219999999999997,2.3725,True,True,True,True,2.86,-14.685314685314681,False,53.93898032965738,-0.007060333196292401,-0.027619150206059064,0.041117634019533326,True,False,False,False,2026-07-28,7.0,17.345101115286656,15.635169603835854,20.764964138188265,False,False,2026-07-28,7.0,True,359440.0,313118.2,1.1479371049015994,False,86922000.0,1.32,65.85,0.8264462809917328,2.892561983471086,2.8451001053740734,14.285714285714556,85.71428571428544,True,2.87,False,False,False,False,False,False
6,000009,中国宝安,J 金融业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,7.5,7.76,6.617,False,True,True,True,8.15,-7.97546012269939,False,64.7950996794634,0.29776067085977953,0.1060324002575154,0.38345654120452827,True,False,False,False,,,47.29424467150752,40.92891537723853,60.02490326004549,False,False,2026-07-27,8.0,True,490059.0,940049.8,0.5213117432714734,False,368687800.0,1.9,194.0462105263158,-1.8324607329842868,4.188481675392662,13.344415898443405,21.874999999999854,31.24999999999995,False,8.45,False,False,False,False,False,False
7,000010,*ST美丽,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,1.57,1.598,1.5895,False,False,True,True,1.89,-16.931216931216923,False,43.06566318900952,-0.08721361060072907,-0.11632791553786231,0.05822860987426648,True,False,False,False,2026-07-29,6.0,5.667324876072551,5.1204628692730045,6.761048889671644,False,False,2026-07-28,7.0,True,217902.0,256668.0,0.8489644209640469,False,34092400.0,2.37,14.384978902953586,0.0,3.184713375796181,-1.2268008807801103,40.0,60.0,False,2.86,False,True,False,False,False,False
8,000011,深物业A,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,8.1,8.022,7.3285,True,True,True,True,9.09,-10.891089108910894,False,64.61114882506999,0.32650547321744483,0.23297208099206906,0.18706678445075153,True,False,False,False,2026-07-15,16.0,63.22584090472242,59.027299532821495,71.62292364852426,False,False,,,False,97259.0,172849.4,0.5626805762704412,False,78539300.0,1.85,42.453675675675676,-0.3690036900369176,3.321033210332109,10.527393054513198,51.85185185185197,48.14814814814803,False,9.09,False,True,False,False,True,False
9,000012,南 玻Ａ,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,3.89,3.9400000000000004,3.8735,False,True,True,False,4.32,-9.953703703703706,False,44.068858000074776,-0.09575073160815872,-0.1247455052601544,0.05798954730399136,True,False,False,False,2026-07-30,5.0,17.79857748551011,17.28484710151138,18.826038253507562,False,False,2026-07-29,6.0,True,286351.0,266080.8,1.0761806188195466,False,111183900.0,1.46,76.15335616438357,-1.7676767676767624,2.2727272727272694,0.42597134374597084,11.11111111111089,44.44444444444456,False,5.41,False,False,False,False,False,False
10,000014,沙河股份,K 房地产,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,10.1,10.107999999999999,9.4545,False,True,True,True,10.5,-3.809523809523813,False,58.049190677202496,0.12577404236664158,-0.027962457066300208,0.3074729988658836,True,False,False,False,,,23.998415287508532,21.822852196185952,28.34954147015369,False,False,2026-07-27,8.0,True,50926.0,77439.0,0.6576272937408799,False,51307000.0,2.1,24.43190476190476,-0.29615004935835687,2.0730503455083813,6.82743667036861,33.33333333333361,66.66666666666639,False,13.1,False,False,False,False,True,False
