序号,股票代码,股票名称,得分,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
193,000657,中钨高新,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,62.5,53.928,59.40350000000001,True,80.11,-21.982274372737486,False,49.30526328853645,16.094346883122693,12.77631500977189,22.730410629824295,,,2026-08-05,1.0,True,2.4831775340988496,10522454700.0,11.8,891.7334491525422,8.82813860351732,6.442625805328231,5.212655819943255,18.10810810810814,False,False,False,False,True,81.89189189189186,True,113.76,腾讯前复权日K回退（成交额、换手率已提供）
387,000962,东方钽业,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,53.86,47.796,51.290499999999994,True,68.88,-21.806039488966313,False,49.79264868888287,16.879325683235518,13.237447102898448,24.163082843909653,2026-08-05,1.0,2026-08-05,1.0,True,2.0062589054251694,2740716000.0,10.16,269.7555118110236,4.319194266899085,7.456904900251795,5.009699651982346,47.79220779220786,False,False,False,True,True,52.20779220779214,False,96.24,腾讯前复权日K回退（成交额、换手率已提供）
1118,002628,成都路桥,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,4.9,4.609999999999999,4.679,True,5.43,-9.760589318600358,False,54.86404141700799,16.358419620515704,11.87828757616933,25.318683709208454,2026-08-05,1.0,2026-08-04,2.0,True,1.6978009452572371,142169100.0,3.99,35.631353383458645,6.060606060606055,7.575757575757567,4.723231459713616,5.714285714285598,False,False,False,False,False,94.2857142857144,True,6.47,腾讯前复权日K回退（成交额、换手率已提供）
1044,002549,凯美特气,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,14.47,13.592000000000002,13.973499999999998,True,17.94,-19.342251950947606,False,48.28277537781467,17.11869137924725,13.717873703456144,23.920326730829455,2026-08-04,2.0,2026-08-04,2.0,True,1.6846973895067094,723702500.0,7.34,98.59707084468664,3.2833690221270473,6.138472519628833,3.5531541847067873,17.441860465116125,False,False,False,False,False,82.55813953488388,True,22.68,腾讯前复权日K回退（成交额、换手率已提供）
1267,002796,世嘉科技,8.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7%（-1分）,2026-08-06,29.18,26.506,27.927,True,35.0,-16.62857142857143,False,46.99319419651815,10.57302233033239,7.98577633622505,15.74751431854707,2026-08-03,3.0,2026-08-04,2.0,True,1.679012088623299,555089900.0,8.5,65.30469411764706,4.813218390804597,8.333333333333334,4.486697461238228,12.499999999999961,False,False,False,False,True,87.50000000000003,True,59.41,腾讯前复权日K回退（成交额、换手率已提供）
1074,002579,中京电子,7.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-06,13.93,12.058,12.8195,True,19.41,-28.232869654817105,False,50.84259002258159,19.214256468529364,14.372243213671666,28.898282978244758,2026-08-05,1.0,2026-08-05,1.0,True,3.482092111974956,2294047600.0,28.69,79.95983269431856,7.318952234206466,6.317411402157166,8.66258434416319,31.707317073170692,False,False,False,False,True,68.2926829268293,False,23.4,腾讯前复权日K回退（成交额、换手率已提供）
1060,002565,顺灏股份,7.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）；换手率5.2-7%（-1分）,2026-08-06,9.88,9.186,9.1705,True,11.74,-15.843270868824527,False,48.97510575197046,10.250436534893248,7.879841692485916,14.991626219707916,2026-07-27,8.0,2026-08-03,3.0,True,3.4111120592425506,1464311400.0000002,13.88,105.49793948126802,4.439746300211422,10.042283298097242,7.736764625701982,55.7894736842105,False,False,False,True,False,44.2105263157895,False,20.78,腾讯前复权日K回退（成交额、换手率已提供）
842,002328,新朋股份,7.5,"站上5日线；站上20日线；RSI区间[46.2, 56.5]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元",换手率5.2-7%（-1分）；涨幅3.2-10.1%（-1分）,2026-08-06,7.06,6.81,6.6705,True,7.8,-9.487179487179489,False,52.346255719890905,12.931222883816332,10.805664132848198,17.1823403857526,2026-07-28,7.0,2026-07-29,6.0,True,2.1614228315225414,391003800.0,9.69,40.351269349845204,2.023121387283222,5.635838150289012,5.839142493066486,48.71794871794886,False,False,False,True,False,51.28205128205114,False,10.84,腾讯前复权日K回退（成交额、换手率已提供）
1351,002887,绿茵生态,7.5,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；换手率5.2-7%（-1分）",2026-08-06,10.76,9.968,9.8015,True,11.08,-2.8880866425992804,False,58.180922184932804,19.151819170604437,14.486282687096505,28.482892137620297,2026-07-21,12.0,2026-08-04,2.0,True,2.1235408673749023,116725800.0,5.03,23.205924453280314,5.180840664711628,10.459433040078203,9.779115441514042,40.186915887850425,False,False,False,True,False,59.813084112149575,False,15.7,腾讯前复权日K回退（成交额、换手率已提供）
513,001378,德冠新材,7.5,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%,"RSI区间[46.2, 56.5]（-1分）；换手率5.2-7%（-1分）",2026-08-06,19.59,17.692,17.822499999999998,True,21.63,-9.431345353675447,False,59.919459562593524,37.34280089931127,25.15833810726615,61.71172648340151,2026-08-04,2.0,2026-08-03,3.0,True,2.094282241536263,157014300.0,9.77,16.071064483111567,9.994385176866928,9.938236945536213,9.917239444522385,0.0,False,False,False,False,True,100.0,True,22.08,腾讯前复权日K回退（成交额、换手率已提供）
