评分排名,股票代码,股票名称,所属行业,得分,序号,满足条件,未满足条件（扣分项）,数据日期,收盘价,MA5,MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",最近MACD金叉日期,最近MACD金叉距今交易日数,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,量比,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线,收盘日内位置（%）,收盘位于日内高位,60日最高价,数据来源
1,001221,悍高集团,C 制造业,9.5,431,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",无,2026-07-30,41.67,38.82,38.209,True,42.65,-2.297772567409137,False,56.73280029394939,12.054007493779253,8.380599788383082,19.400822904571594,2026-07-15,11.0,2026-07-22,6.0,True,2.1636078533254155,194379000.0,6.07,32.02289950576606,5.0680786686838175,9.329299041855782,9.058075322567976,29.729729729729748,False,False,False,True,False,70.27027027027025,True,65.32,腾讯前复权日K回退（成交额、换手率已提供）
2,002090,金智科技,C 制造业,8.5,615,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-07-30,9.56,8.962,8.9315,True,9.74,-1.8480492813141656,False,57.9143696829662,26.908135241633044,18.677980291761756,43.36844514137562,2026-07-27,3.0,2026-07-23,5.0,True,2.842237333090635,211600099.99999997,5.49,38.54282331511839,3.239740820734349,6.911447084233267,7.036891899456986,53.124999999999936,False,False,False,True,False,46.875000000000064,False,11.7,腾讯前复权日K回退（成交额、换手率已提供）
3,000799,酒鬼酒,C 制造业,8.5,284,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%",放量（量比1.4-2.7）（-1分）,2026-07-30,40.71,38.952,39.096000000000004,True,44.36,-8.228133453561764,False,53.852581981051536,23.61747675299236,18.60412845024391,33.64417335848926,2026-07-29,1.0,2026-07-29,1.0,True,2.79578132696157,874271900.0,6.57,133.07030441400303,4.277663934426235,9.503073770491788,4.128299570288513,47.70889487870617,False,False,False,False,False,52.291105121293825,False,47.12,腾讯前复权日K回退（成交额、换手率已提供）
4,002846,英联股份,C 制造业,8.5,1311,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-30,10.74,9.746,9.771,True,10.95,-1.9178082191780739,False,56.989266172890666,12.808078535227287,8.448773309929116,21.526688985823625,2026-07-23,5.0,2026-07-23,5.0,True,2.4101322745963905,124513900.0,4.57,27.245929978118163,10.040983606557386,10.143442622950822,9.917101627264346,0.0,False,False,False,True,True,100.0,True,16.1,腾讯前复权日K回退（成交额、换手率已提供）
5,002580,圣阳股份,C 制造业,8.5,1074,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-30,19.36,17.419999999999998,17.2425,True,22.18,-12.714156898106404,False,54.38014609709666,20.70676576264841,17.68892636007293,26.742444567799367,2026-07-27,3.0,2026-07-27,3.0,True,2.2512853836770526,2614184600.0,30.56,85.54268979057592,4.030091348737241,11.445459430413752,12.280701754385962,24.413145539906093,False,False,False,False,True,75.58685446009392,True,36.46,腾讯前复权日K回退（成交额、换手率已提供）
6,000721,西安饮食,H 住宿餐饮,8.5,237,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 59.7]（-1分）",2026-07-30,6.81,6.112,5.786499999999999,True,6.3,8.095238095238091,True,70.16984723666855,30.16930500863477,21.17721578499795,48.15348345590841,2026-07-03,19.0,2026-07-27,3.0,True,1.9879089858528858,193167599.99999997,5.69,33.948611599297,10.016155088852985,9.854604200323092,17.687721420547835,0.0,False,False,False,True,True,100.0,True,7.63,腾讯前复权日K回退（成交额、换手率已提供）
7,002659,凯文教育,P 教育,8.5,1148,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%",涨幅3.2-10.1%（-1分）,2026-07-30,4.2,4.0200000000000005,3.9335,True,4.27,-1.6393442622950678,False,59.161313103848016,24.44639442842926,19.079029463472423,35.18112435834294,,,2026-07-27,3.0,True,1.964860973803608,133861000.0,5.24,25.54599236641221,1.2048192771084265,6.987951807228916,6.775136646752261,75.86206896551715,False,False,False,True,False,24.137931034482854,False,5.45,腾讯前复权日K回退（成交额、换手率已提供）
8,001222,源飞宠物,C 制造业,8.5,432,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%",涨幅3.2-10.1%（-1分）,2026-07-30,14.05,13.541999999999998,13.527000000000001,True,14.55,-3.4364261168384878,False,53.16149069992068,13.217764023720818,9.886080437600546,19.881131195961363,,,2026-07-28,2.0,True,1.8047910541283076,106842700.0,6.63,16.11503770739065,0.14255167498218313,4.0627227369921615,3.8663413912914883,82.45614035087695,False,False,False,True,False,17.543859649123046,False,19.1,腾讯前复权日K回退（成交额、换手率已提供）
9,000572,海马汽车,C 制造业,8.5,146,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%",涨幅3.2-10.1%（-1分）,2026-07-30,3.79,3.6060000000000003,3.5420000000000003,True,4.2,-9.761904761904765,False,53.48597027776939,12.792157077417698,9.564991625061209,19.246487982130677,2026-07-14,12.0,2026-07-22,6.0,True,1.7961141033100827,359222400.0,5.75,62.47346086956522,1.8817204301075252,6.18279569892473,7.00169395821569,43.47826086956526,False,False,False,True,False,56.521739130434746,False,5.69,腾讯前复权日K回退（成交额、换手率已提供）
10,002702,海欣食品,C 制造业,8.5,1187,站上5日线；站上20日线；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；换手率5.2-7.9%；涨幅3.2-10.1%,"RSI区间[46.2, 59.7]（-1分）",2026-07-30,4.94,4.406000000000001,4.398,True,4.67,5.781584582441123,True,62.93412771967264,25.183150913900686,16.13669976838609,43.27605320492987,2026-07-27,3.0,2026-07-23,5.0,True,1.7287685152991934,172610400.0,7.85,21.988585987261146,10.022271714922049,8.685968819599122,12.323783537971822,0.0,False,False,False,False,True,100.0,True,6.2,腾讯前复权日K回退（成交额、换手率已提供）
11,000506,招金黄金,B 采矿业,8.5,93,"站上5日线；站上20日线；RSI区间[46.2, 59.7]；MACD多头；KDJ金叉距今0-6个交易日且状态良好；放量（量比1.4-2.7）；日成交额≥1亿元；涨幅3.2-10.1%",换手率5.2-7.9%（-1分）,2026-07-30,13.2,12.636,12.753499999999999,True,14.8,-10.81081081081082,False,52.12752901143271,21.847020934913996,19.07172401918567,27.397614766370644,2026-07-23,5.0,2026-07-22,6.0,True,1.6177537184148632,1563182200.0,12.46,125.45603531300159,3.8552321007080836,8.811959087332816,3.5009997255655336,69.64285714285718,True,False,False,True,False,30.357142857142815,False,17.28,腾讯前复权日K回退（成交额、换手率已提供）
